gwid,statename,from,to,group,groupid,gwgroupid,umbrella,size,status,reg_aut
365,Russia,1946,1956,Karachai,54000,36554000,,0.0004,DISCRIMINATED,false
365,Russia,1946,1956,Abkhaz,46000,36546000,,0.0003,POWERLESS,true
365,Russia,1946,1956,Khakass,57000,36557000,,0.0003,POWERLESS,true
365,Russia,1946,1956,Laks,59000,36559000,,0.0003,POWERLESS,false
365,Russia,1946,1956,Balkars,43000,36543000,,0.0002,DISCRIMINATED,false
365,Russia,1946,1956,Altai,47000,36547000,,0.0002,POWERLESS,true
365,Russia,1946,1956,Nogai,61000,36561000,,0.0002,POWERLESS,false
365,Russia,1946,1956,Pamir Tajiks,63000,36563000,,0.0002,POWERLESS,false
365,Russia,1946,1956,Tabasarans,65000,36565000,,0.0002,POWERLESS,false
365,Russia,1946,1956,Chukchi,48000,36548000,,0.0001,IRRELEVANT,
365,Russia,1946,1956,Crimean Tatars,49000,36549000,,0.0001,DISCRIMINATED,false
365,Russia,1957,1991,Russians,1000,36501000,,0.54,SENIOR PARTNER,true
365,Russia,1957,1991,Ukrainians,2000,36502000,,0.17,JUNIOR PARTNER,true
365,Russia,1957,1991,Byelorussians,4000,36504000,,0.03,POWERLESS,true
365,Russia,1957,1991,Tatars,3000,36503000,,0.02,POWERLESS,true
365,Russia,1957,1991,Uzbeks,5000,36505000,,0.02,POWERLESS,true
365,Russia,1957,1991,Armenians,8000,36508000,,0.01,POWERLESS,true
365,Russia,1957,1991,Azerbaijanis,9000,36509000,,0.01,POWERLESS,true
365,Russia,1957,1991,Georgians,10000,36510000,,0.01,POWERLESS,true
365,Russia,1957,1991,Jews,11000,36511000,,0.01,DISCRIMINATED,false
365,Russia,1957,1991,Kazakhs,12000,36512000,,0.01,POWERLESS,true
365,Russia,1957,1991,Lithuanians,13000,36513000,,0.01,POWERLESS,true
365,Russia,1957,1991,Moldovans,14000,36514000,,0.01,POWERLESS,true
365,Russia,1957,1991,Germans,17000,36517000,,0.008,DISCRIMINATED,false
365,Russia,1957,1991,Chuvashes,6000,36506000,,0.007,POWERLESS,true
365,Russia,1957,1991,Poles,18000,36518000,,0.007,POWERLESS,false
365,Russia,1957,1991,Tajiks,19000,36519000,,0.007,POWERLESS,true
365,Russia,1957,1991,Mordva,20000,36520000,,0.006,POWERLESS,true
365,Russia,1957,1991,Latvians,21000,36521000,,0.006,POWERLESS,true
365,Russia,1957,1991,Bashkirs,7000,36507000,,0.005,POWERLESS,true
365,Russia,1957,1991,Kirghis,22000,36522000,,0.005,POWERLESS,true
365,Russia,1957,1991,Estonians,24000,36524000,,0.005,POWERLESS,true
365,Russia,1957,1991,Turkmens,25000,36525000,,0.005,POWERLESS,true
365,Russia,1957,1991,Udmurt,30000,36530000,,0.003,POWERLESS,true
365,Russia,1957,1991,Chechens,16000,36516000,,0.002,POWERLESS,true
365,Russia,1957,1991,Ossetes,27000,36527000,,0.002,POWERLESS,true
365,Russia,1957,1991,Mari,29000,36529000,,0.002,POWERLESS,true
365,Russia,1957,1991,Koreans,38000,36538000,,0.002,DISCRIMINATED,false
365,Russia,1957,1991,Avars,23000,36523000,,0.001,POWERLESS,true
365,Russia,1957,1991,Dargins,26000,36526000,,0.001,POWERLESS,true
365,Russia,1957,1991,Kabardins,28000,36528000,,0.001,POWERLESS,true
365,Russia,1957,1991,Buryats,32000,36532000,,0.001,POWERLESS,true
365,Russia,1957,1991,Ingush,33000,36533000,,0.001,POWERLESS,true
365,Russia,1957,1991,Kumyks,34000,36534000,,0.001,POWERLESS,true
365,Russia,1957,1991,Lezgins,35000,36535000,,0.001,POWERLESS,true
365,Russia,1957,1991,Yakuts,36000,36536000,,0.001,POWERLESS,true
365,Russia,1957,1991,Komi,37000,36537000,,0.001,POWERLESS,true
365,Russia,1957,1991,Circassians,44000,36544000,,0.001,POWERLESS,true
365,Russia,1957,1991,Gagauz,51000,36551000,,0.001,POWERLESS,false
365,Russia,1957,1991,Roma,52000,36552000,,0.001,DISCRIMINATED,false
365,Russia,1957,1991,Kalmyks,53000,36553000,,0.001,POWERLESS,true
365,Russia,1957,1991,Karakalpaks,55000,36555000,,0.001,POWERLESS,true
365,Russia,1957,1991,Karelians,56000,36556000,,0.001,POWERLESS,true
365,Russia,1957,1991,Komi-Permyaks,58000,36558000,,0.001,POWERLESS,false
365,Russia,1957,1991,Tuvinians,39000,36539000,,0.0005,POWERLESS,true
365,Russia,1957,1991,Uighurs,66000,36566000,,0.0005,POWERLESS,false
365,Russia,1957,1991,Adyghe,40000,36540000,,0.0004,POWERLESS,true
365,Russia,1957,1991,Finns,50000,36550000,,0.0004,POWERLESS,false
365,Russia,1957,1991,Karachai,54000,36554000,,0.0004,POWERLESS,true
365,Russia,1957,1991,Abkhaz,46000,36546000,,0.0003,POWERLESS,true
365,Russia,1957,1991,Khakass,57000,36557000,,0.0003,POWERLESS,true
365,Russia,1957,1991,Laks,59000,36559000,,0.0003,POWERLESS,false
365,Russia,1957,1991,Balkars,43000,36543000,,0.0002,POWERLESS,true
365,Russia,1957,1991,Altai,47000,36547000,,0.0002,POWERLESS,true
365,Russia,1957,1991,Nogai,61000,36561000,,0.0002,POWERLESS,false
365,Russia,1957,1991,Pamir Tajiks,63000,36563000,,0.0002,POWERLESS,false
365,Russia,1957,1991,Tabasarans,65000,36565000,,0.0002,POWERLESS,false
365,Russia,1957,1991,Chukchi,48000,36548000,,0.0001,IRRELEVANT,
365,Russia,1957,1991,Crimean Tatars,49000,36549000,,0.0001,DISCRIMINATED,false
365,Russia,1992,2002,Russians,1000,36501000,,0.798,DOMINANT,
365,Russia,1992,2002,Tatars,3000,36503000,,0.038,POWERLESS,true
365,Russia,1992,2002,Ukrainians,2000,36502000,,0.02,POWERLESS,false
365,Russia,1992,2002,Chuvashes,6000,36506000,,0.013,POWERLESS,true
365,Russia,1992,2002,Bashkirs,7000,36507000,,0.012,POWERLESS,true
365,Russia,1992,2002,Chechens,16000,36516000,,0.009,SELF-EXCLUSION,true
365,Russia,1992,2002,Armenians,8000,36508000,,0.008,POWERLESS,false
365,Russia,1992,2002,Poles,18000,36518000,,0.007,IRRELEVANT,
365,Russia,1992,2002,Byelorussians,4000,36504000,,0.006,IRRELEVANT,
365,Russia,1992,2002,Mordva,20000,36520000,,0.006,POWERLESS,true
365,Russia,1992,2002,Avars,23000,36523000,,0.006,POWERLESS,true
365,Russia,1992,2002,Kazakhs,12000,36512000,,0.005,POWERLESS,false
365,Russia,1992,2002,Azerbaijanis,9000,36509000,,0.004,DISCRIMINATED,false
365,Russia,1992,2002,Germans,17000,36517000,,0.004,POWERLESS,false
365,Russia,1992,2002,Dargins,26000,36526000,,0.004,POWERLESS,true
365,Russia,1992,2002,Ossetes,27000,36527000,,0.004,POWERLESS,true
365,Russia,1992,2002,Kabardins,28000,36528000,,0.004,POWERLESS,true
365,Russia,1992,2002,Mari,29000,36529000,,0.004,POWERLESS,true
365,Russia,1992,2002,Udmurt,30000,36530000,,0.004,POWERLESS,true
365,Russia,1992,2002,Buryats,32000,36532000,,0.003,POWERLESS,true
365,Russia,1992,2002,Ingush,33000,36533000,,0.003,POWERLESS,true
365,Russia,1992,2002,Kumyks,34000,36534000,,0.003,POWERLESS,true
365,Russia,1992,2002,Lezgins,35000,36535000,,0.003,POWERLESS,true
365,Russia,1992,2002,Yakuts,36000,36536000,,0.003,POWERLESS,true
365,Russia,1992,2002,Jews,11000,36511000,,0.002,POWERLESS,false
365,Russia,1992,2002,Komi,37000,36537000,,0.002,POWERLESS,true
365,Russia,1992,2002,Koreans,38000,36538000,,0.002,IRRELEVANT,
365,Russia,1992,2002,Tuvinians,39000,36539000,,0.002,POWERLESS,true
365,Russia,1992,2002,Georgians,10000,36510000,,0.001,POWERLESS,false
365,Russia,1992,2002,Adyghe,40000,36540000,,0.001,POWERLESS,true
365,Russia,1992,2002,Balkars,43000,36543000,,0.001,POWERLESS,true
365,Russia,1992,2002,Altai,47000,36547000,,0.001,POWERLESS,true
365,Russia,1992,2002,Roma,52000,36552000,,0.001,DISCRIMINATED,false
365,Russia,1992,2002,Kalmyks,53000,36553000,,0.001,POWERLESS,true
365,Russia,1992,2002,Karachai,54000,36554000,,0.001,POWERLESS,true
365,Russia,1992,2002,Karelians,56000,36556000,,0.001,POWERLESS,true
365,Russia,1992,2002,Khakass,57000,36557000,,0.001,POWERLESS,true
365,Russia,1992,2002,Komi-Permyaks,58000,36558000,,0.001,IRRELEVANT,
365,Russia,1992,2002,Laks,59000,36559000,,0.001,POWERLESS,false
365,Russia,1992,2002,Nogai,61000,36561000,,0.001,POWERLESS,false
365,Russia,1992,2002,Tabasarans,65000,36565000,,0.001,POWERLESS,false
365,Russia,1992,2002,Circassians,44000,36544000,,0.0004,POWERLESS,false
365,Russia,1992,2002,Finns,50000,36550000,,0.0004,IRRELEVANT,
365,Russia,1992,2002,Chukchi,48000,36548000,,0.0001,POWERLESS,true
365,Russia,2003,2005,Russians,1000,36501000,,0.798,DOMINANT,
365,Russia,2003,2005,Tatars,3000,36503000,,0.038,POWERLESS,true
365,Russia,2003,2005,Ukrainians,2000,36502000,,0.02,POWERLESS,false
365,Russia,2003,2005,Chuvashes,6000,36506000,,0.013,POWERLESS,true
365,Russia,2003,2005,Bashkirs,7000,36507000,,0.012,POWERLESS,true
365,Russia,2003,2005,Chechens,16000,36516000,,0.009,POWERLESS,true
365,Russia,2003,2005,Armenians,8000,36508000,,0.008,POWERLESS,false
365,Russia,2003,2005,Poles,18000,36518000,,0.007,IRRELEVANT,
365,Russia,2003,2005,Byelorussians,4000,36504000,,0.006,IRRELEVANT,
365,Russia,2003,2005,Mordva,20000,36520000,,0.006,POWERLESS,true
365,Russia,2003,2005,Avars,23000,36523000,,0.006,POWERLESS,true
365,Russia,2003,2005,Kazakhs,12000,36512000,,0.005,POWERLESS,false
365,Russia,2003,2005,Azerbaijanis,9000,36509000,,0.004,DISCRIMINATED,false
365,Russia,2003,2005,Germans,17000,36517000,,0.004,POWERLESS,false
365,Russia,2003,2005,Dargins,26000,36526000,,0.004,POWERLESS,true
365,Russia,2003,2005,Ossetes,27000,36527000,,0.004,POWERLESS,true
365,Russia,2003,2005,Kabardins,28000,36528000,,0.004,POWERLESS,true
365,Russia,2003,2005,Mari,29000,36529000,,0.004,POWERLESS,true
365,Russia,2003,2005,Udmurt,30000,36530000,,0.004,POWERLESS,true
365,Russia,2003,2005,Buryats,32000,36532000,,0.003,POWERLESS,true
365,Russia,2003,2005,Ingush,33000,36533000,,0.003,POWERLESS,true
365,Russia,2003,2005,Kumyks,34000,36534000,,0.003,POWERLESS,true
365,Russia,2003,2005,Lezgins,35000,36535000,,0.003,POWERLESS,true
365,Russia,2003,2005,Yakuts,36000,36536000,,0.003,POWERLESS,true
365,Russia,2003,2005,Jews,11000,36511000,,0.002,POWERLESS,false
365,Russia,2003,2005,Komi,37000,36537000,,0.002,POWERLESS,true
365,Russia,2003,2005,Koreans,38000,36538000,,0.002,IRRELEVANT,
365,Russia,2003,2005,Tuvinians,39000,36539000,,0.002,POWERLESS,true
365,Russia,2003,2005,Georgians,10000,36510000,,0.001,POWERLESS,false
365,Russia,2003,2005,Adyghe,40000,36540000,,0.001,POWERLESS,true
365,Russia,2003,2005,Balkars,43000,36543000,,0.001,POWERLESS,true
365,Russia,2003,2005,Altai,47000,36547000,,0.001,POWERLESS,true
365,Russia,2003,2005,Roma,52000,36552000,,0.001,DISCRIMINATED,false
365,Russia,2003,2005,Kalmyks,53000,36553000,,0.001,POWERLESS,true
365,Russia,2003,2005,Karachai,54000,36554000,,0.001,POWERLESS,true
365,Russia,2003,2005,Karelians,56000,36556000,,0.001,POWERLESS,true
365,Russia,2003,2005,Khakass,57000,36557000,,0.001,POWERLESS,true
365,Russia,2003,2005,Komi-Permyaks,58000,36558000,,0.001,IRRELEVANT,
365,Russia,2003,2005,Laks,59000,36559000,,0.001,POWERLESS,false
365,Russia,2003,2005,Nogai,61000,36561000,,0.001,POWERLESS,false
365,Russia,2003,2005,Tabasarans,65000,36565000,,0.001,POWERLESS,false
365,Russia,2003,2005,Circassians,44000,36544000,,0.0004,POWERLESS,false
365,Russia,2003,2005,Finns,50000,36550000,,0.0004,IRRELEVANT,
365,Russia,2003,2005,Chukchi,48000,36548000,,0.0001,POWERLESS,true
365,Russia,2006,2013,Russians,1000,36501000,,0.798,DOMINANT,
365,Russia,2006,2013,Tatars,3000,36503000,,0.038,POWERLESS,true
365,Russia,2006,2013,Ukrainians,2000,36502000,,0.02,POWERLESS,false
365,Russia,2006,2013,Chuvashes,6000,36506000,,0.013,POWERLESS,true
365,Russia,2006,2013,Bashkirs,7000,36507000,,0.012,POWERLESS,true
365,Russia,2006,2013,Chechens,16000,36516000,,0.009,POWERLESS,true
365,Russia,2006,2013,Armenians,8000,36508000,,0.008,POWERLESS,false
365,Russia,2006,2013,Poles,18000,36518000,,0.007,IRRELEVANT,
365,Russia,2006,2013,Byelorussians,4000,36504000,,0.006,IRRELEVANT,
365,Russia,2006,2013,Mordva,20000,36520000,,0.006,POWERLESS,true
365,Russia,2006,2013,Avars,23000,36523000,,0.006,POWERLESS,true
365,Russia,2006,2013,Kazakhs,12000,36512000,,0.005,POWERLESS,false
365,Russia,2006,2013,Azerbaijanis,9000,36509000,,0.004,DISCRIMINATED,false
365,Russia,2006,2013,Germans,17000,36517000,,0.004,POWERLESS,false
365,Russia,2006,2013,Dargins,26000,36526000,,0.004,POWERLESS,true
365,Russia,2006,2013,Ossetes,27000,36527000,,0.004,POWERLESS,true
365,Russia,2006,2013,Kabardins,28000,36528000,,0.004,POWERLESS,true
365,Russia,2006,2013,Mari,29000,36529000,,0.004,POWERLESS,true
365,Russia,2006,2013,Udmurt,30000,36530000,,0.004,POWERLESS,true
365,Russia,2006,2013,Buryats,32000,36532000,,0.003,POWERLESS,true
365,Russia,2006,2013,Ingush,33000,36533000,,0.003,POWERLESS,true
365,Russia,2006,2013,Kumyks,34000,36534000,,0.003,POWERLESS,true
365,Russia,2006,2013,Lezgins,35000,36535000,,0.003,POWERLESS,true
365,Russia,2006,2013,Yakuts,36000,36536000,,0.003,POWERLESS,true
365,Russia,2006,2013,Jews,11000,36511000,,0.002,POWERLESS,false
365,Russia,2006,2013,Komi,37000,36537000,,0.002,POWERLESS,true
365,Russia,2006,2013,Koreans,38000,36538000,,0.002,IRRELEVANT,
365,Russia,2006,2013,Tuvinians,39000,36539000,,0.002,POWERLESS,true
365,Russia,2006,2013,Georgians,10000,36510000,,0.001,DISCRIMINATED,false
365,Russia,2006,2013,Adyghe,40000,36540000,,0.001,POWERLESS,true
365,Russia,2006,2013,Balkars,43000,36543000,,0.001,POWERLESS,true
365,Russia,2006,2013,Altai,47000,36547000,,0.001,POWERLESS,true
365,Russia,2006,2013,Roma,52000,36552000,,0.001,DISCRIMINATED,false
365,Russia,2006,2013,Kalmyks,53000,36553000,,0.001,POWERLESS,true
365,Russia,2006,2013,Karachai,54000,36554000,,0.001,POWERLESS,true
365,Russia,2006,2013,Karelians,56000,36556000,,0.001,POWERLESS,true
365,Russia,2006,2013,Khakass,57000,36557000,,0.001,POWERLESS,true
365,Russia,2006,2013,Komi-Permyaks,58000,36558000,,0.001,IRRELEVANT,
365,Russia,2006,2013,Laks,59000,36559000,,0.001,POWERLESS,false
365,Russia,2006,2013,Nogai,61000,36561000,,0.001,POWERLESS,false
365,Russia,2006,2013,Tabasarans,65000,36565000,,0.001,POWERLESS,false
365,Russia,2006,2013,Circassians,44000,36544000,,0.0004,POWERLESS,false
365,Russia,2006,2013,Finns,50000,36550000,,0.0004,IRRELEVANT,
365,Russia,2006,2013,Chukchi,48000,36548000,,0.0001,POWERLESS,true
366,Estonia,1991,2013,Estonians,1000,36601000,,0.679,DOMINANT,
366,Estonia,1991,2013,Russians,2000,36602000,,0.256,POWERLESS,false
366,Estonia,1991,2013,Ukrainians,3000,36603000,,0.021,POWERLESS,false
366,Estonia,1991,2013,Byelorussians,4000,36604000,,0.013,POWERLESS,false
367,Latvia,1991,2013,Latvians,1000,36701000,,0.586,DOMINANT,
367,Latvia,1991,2013,Russians,2000,36702000,,0.288,POWERLESS,false
367,Latvia,1991,2013,Byelorussians,3000,36703000,,0.039,POWERLESS,false
367,Latvia,1991,2013,Ukrainians,4000,36704000,,0.026,POWERLESS,false
368,Lithuania,1991,2000,Lithuanians,1000,36801000,,0.766,DOMINANT,
368,Lithuania,1991,2000,Russians,3000,36803000,,0.094,POWERLESS,false
368,Lithuania,1991,2000,Poles,2000,36802000,,0.07,POWERLESS,false
368,Lithuania,2001,2013,Lithuanians,1000,36801000,,0.842,DOMINANT,
368,Lithuania,2001,2013,Poles,2000,36802000,,0.066,POWERLESS,false
368,Lithuania,2001,2013,Russians,3000,36803000,,0.058,POWERLESS,false
369,Ukraine,1991,2013,Ukrainians,1000,36901000,,0.778,SENIOR PARTNER,false
369,Ukraine,1991,2013,Russians,2000,36902000,,0.173,JUNIOR PARTNER,true
369,Ukraine,1991,2013,Romanians/Moldovans,3000,36903000,,0.008,POWERLESS,false
369,Ukraine,1991,2013,Crimean Tatars,5000,36905000,,0.005,DISCRIMINATED,false
369,Ukraine,1991,2013,Hungarians,7000,36907000,,0.003,POWERLESS,false
370,Belarus,1991,2004,Byelorussians,1000,37001000,,0.78,SENIOR PARTNER,false
370,Belarus,1991,2004,Russians,2000,37002000,,0.132,JUNIOR PARTNER,false
370,Belarus,1991,2004,Poles,3000,37003000,,0.041,POWERLESS,false
370,Belarus,2005,2013,Byelorussians,1000,37001000,,0.78,SENIOR PARTNER,false
370,Belarus,2005,2013,Russians,2000,37002000,,0.132,JUNIOR PARTNER,false
370,Belarus,2005,2013,Poles,3000,37003000,,0.041,DISCRIMINATED,false
371,Armenia,1991,2013,Armenians,1000,37101000,,0.979,MONOPOLY,
371,Armenia,1991,2013,Kurds,2000,37102000,,0.013,POWERLESS,false
371,Armenia,1991,2013,Russians,3000,37103000,,0.005,POWERLESS,false
372,Georgia,1991,2001,Georgians,1000,37201000,,0.694,DOMINANT,
372,Georgia,1991,2001,Armenians,2000,37202000,,0.08,POWERLESS,false
372,Georgia,1991,2001,Azeri,5000,37205000,,0.056,POWERLESS,false
372,Georgia,1991,2001,Ossetians (South),6000,37206000,,0.032,SELF-EXCLUSION,true
372,Georgia,1991,2001,Abkhazians,7000,37207000,,0.017,SELF-EXCLUSION,true
372,Georgia,2002,2013,Georgians,1000,37201000,,0.805,DOMINANT,
372,Georgia,2002,2013,Azeri,5000,37205000,,0.063,POWERLESS,false
372,Georgia,2002,2013,Armenians,2000,37202000,,0.055,POWERLESS,false
372,Georgia,2002,2013,Abkhazians,7000,37207000,,0.037,SELF-EXCLUSION,true
372,Georgia,2002,2013,Ossetians (South),6000,37206000,,0.015,SELF-EXCLUSION,true
373,Azerbaijan,1991,2013,Azeri,1000,37301000,,0.9,DOMINANT,
373,Azerbaijan,1991,2013,Lezgins,2000,37302000,,0.032,POWERLESS,false
373,Azerbaijan,1991,2013,Armenians,4000,37304000,,0.023,SELF-EXCLUSION,true
375,Finland,1946,2013,Finns,1000,37501000,,0.93,SENIOR PARTNER,false
375,Finland,1946,2013,Swedes,2000,37502000,,0.06,JUNIOR PARTNER,false
380,Sweden,1946,2013,Swedes,1000,38001000,,1,IRRELEVANT,
385,Norway,1946,2013,Norwegians,1000,38501000,,1,IRRELEVANT,
390,Denmark,1946,2013,Danes,1000,39001000,,1,IRRELEVANT,
404,Guinea-Bissau,1974,1980,Balanta,1000,40401000,,0.3,POWERLESS,false
404,Guinea-Bissau,1974,1980,Peul,2000,40402000,,0.2,IRRELEVANT,
404,Guinea-Bissau,1974,1980,Manjaco,3000,40403000,,0.14,POWERLESS,false
404,Guinea-Bissau,1974,1980,Papel,5000,40405000,,0.07,POWERLESS,false
404,Guinea-Bissau,1974,1980,Cape Verdean,6000,40406000,,0.02,DOMINANT,
404,Guinea-Bissau,1981,1999,Balanta,1000,40401000,,0.3,JUNIOR PARTNER,false
404,Guinea-Bissau,1981,1999,Peul,2000,40402000,,0.2,IRRELEVANT,
404,Guinea-Bissau,1981,1999,Manjaco,3000,40403000,,0.14,JUNIOR PARTNER,false
404,Guinea-Bissau,1981,1999,Papel,5000,40405000,,0.07,SENIOR PARTNER,false
404,Guinea-Bissau,1981,1999,Cape Verdean,6000,40406000,,0.02,IRRELEVANT,
404,Guinea-Bissau,2000,2005,Balanta,1000,40401000,,0.3,DOMINANT,
404,Guinea-Bissau,2000,2005,Peul,2000,40402000,,0.2,IRRELEVANT,
404,Guinea-Bissau,2000,2005,Manjaco,3000,40403000,,0.14,POWERLESS,false
404,Guinea-Bissau,2000,2005,Papel,5000,40405000,,0.07,POWERLESS,false
404,Guinea-Bissau,2000,2005,Cape Verdean,6000,40406000,,0.02,IRRELEVANT,
404,Guinea-Bissau,2006,2009,Balanta,1000,40401000,,0.3,JUNIOR PARTNER,false
404,Guinea-Bissau,2006,2009,Peul,2000,40402000,,0.2,IRRELEVANT,
404,Guinea-Bissau,2006,2009,Manjaco,3000,40403000,,0.14,JUNIOR PARTNER,false
404,Guinea-Bissau,2006,2009,Papel,5000,40405000,,0.07,SENIOR PARTNER,false
404,Guinea-Bissau,2006,2009,Cape Verdean,6000,40406000,,0.02,IRRELEVANT,
404,Guinea-Bissau,2010,2012,Balanta,1000,40401000,,0.3,SENIOR PARTNER,false
404,Guinea-Bissau,2010,2012,Peul,2000,40402000,,0.2,IRRELEVANT,
404,Guinea-Bissau,2010,2012,Manjaco,3000,40403000,,0.14,SENIOR PARTNER,false
404,Guinea-Bissau,2010,2012,Papel,5000,40405000,,0.07,SENIOR PARTNER,false
404,Guinea-Bissau,2010,2012,Cape Verdean,6000,40406000,,0.02,IRRELEVANT,
404,Guinea-Bissau,2013,2013,Balanta,1000,40401000,,0.3,SENIOR PARTNER,false
404,Guinea-Bissau,2013,2013,Peul,2000,40402000,,0.2,IRRELEVANT,
404,Guinea-Bissau,2013,2013,Manjaco,3000,40403000,,0.14,JUNIOR PARTNER,false
404,Guinea-Bissau,2013,2013,Papel,5000,40405000,,0.07,JUNIOR PARTNER,false
404,Guinea-Bissau,2013,2013,Cape Verdean,6000,40406000,,0.02,IRRELEVANT,
420,The Gambia,1965,1993,Mandinka,1000,42001000,,0.395,JUNIOR PARTNER,false
420,The Gambia,1965,1993,Fula,2000,42002000,,0.19,JUNIOR PARTNER,false
420,The Gambia,1965,1993,Wolof,3000,42003000,,0.145,SENIOR PARTNER,false
420,The Gambia,1965,1993,Diola,4000,42004000,,0.105,POWERLESS,false
420,The Gambia,1965,1993,Aku (Creoles),6000,42006000,,0.02,JUNIOR PARTNER,false
420,The Gambia,1994,2013,Mandinka,1000,42001000,,0.395,IRRELEVANT,false
420,The Gambia,1994,2013,Fula,2000,42002000,,0.19,IRRELEVANT,false
420,The Gambia,1994,2013,Wolof,3000,42003000,,0.145,IRRELEVANT,false
420,The Gambia,1994,2013,Diola,4000,42004000,,0.105,IRRELEVANT,false
420,The Gambia,1994,2013,Aku (Creoles),6000,42006000,,0.02,IRRELEVANT,false
432,Mali,1960,1990,"Blacks (Mande, Peul, Voltaic etc.)",1000,43201000,,0.9,MONOPOLY,
432,Mali,1960,1990,Tuareg,2000,43202000,,0.07,POWERLESS,false
432,Mali,1960,1990,Arabs/Moors,3000,43203000,,0.03,POWERLESS,false
432,Mali,1991,1993,"Blacks (Mande, Peul, Voltaic etc.)",1000,43201000,,0.9,SENIOR PARTNER,false
432,Mali,1991,1993,Tuareg,2000,43202000,,0.07,JUNIOR PARTNER,true
432,Mali,1991,1993,Arabs/Moors,3000,43203000,,0.03,JUNIOR PARTNER,false
432,Mali,1994,1995,"Blacks (Mande, Peul, Voltaic etc.)",1000,43201000,,0.9,MONOPOLY,
432,Mali,1994,1995,Tuareg,2000,43202000,,0.07,DISCRIMINATED,true
432,Mali,1994,1995,Arabs/Moors,3000,43203000,,0.03,DISCRIMINATED,false
432,Mali,1996,2012,"Blacks (Mande, Peul, Voltaic etc.)",1000,43201000,,0.9,SENIOR PARTNER,false
432,Mali,1996,2012,Tuareg,2000,43202000,,0.07,JUNIOR PARTNER,true
432,Mali,1996,2012,Arabs/Moors,3000,43203000,,0.03,JUNIOR PARTNER,false
432,Mali,2013,2013,"Blacks (Mande, Peul, Voltaic etc.)",1000,43201000,,0.9,SENIOR PARTNER,false
432,Mali,2013,2013,Tuareg,2000,43202000,,0.07,JUNIOR PARTNER,false
432,Mali,2013,2013,Arabs/Moors,3000,43203000,,0.03,JUNIOR PARTNER,false
433,Senegal,1960,1980,Wolof,1000,43301000,,0.435,JUNIOR PARTNER,false
433,Senegal,1960,1980,"Pulaar (Peul, Toucouleur)",2000,43302000,,0.23,JUNIOR PARTNER,false
433,Senegal,1960,1980,Serer,3000,43303000,,0.15,SENIOR PARTNER,false
433,Senegal,1960,1980,Mandingue (and other eastern groups),4000,43304000,,0.08,JUNIOR PARTNER,false
433,Senegal,1960,1980,Diola,5000,43305000,,0.055,JUNIOR PARTNER,false
433,Senegal,1981,2012,Wolof,1000,43301000,,0.435,SENIOR PARTNER,false
433,Senegal,1981,2012,"Pulaar (Peul, Toucouleur)",2000,43302000,,0.23,JUNIOR PARTNER,false
433,Senegal,1981,2012,Serer,3000,43303000,,0.15,JUNIOR PARTNER,false
433,Senegal,1981,2012,Mandingue (and other eastern groups),4000,43304000,,0.08,JUNIOR PARTNER,false
433,Senegal,1981,2012,Diola,5000,43305000,,0.055,JUNIOR PARTNER,false
433,Senegal,2013,2013,Wolof,1000,43301000,,0.435,JUNIOR PARTNER,false
433,Senegal,2013,2013,"Pulaar (Peul, Toucouleur)",2000,43302000,,0.23,SENIOR PARTNER,false
433,Senegal,2013,2013,Serer,3000,43303000,,0.15,JUNIOR PARTNER,false
433,Senegal,2013,2013,Mandingue (and other eastern groups),4000,43304000,,0.08,JUNIOR PARTNER,false
433,Senegal,2013,2013,Diola,5000,43305000,,0.055,JUNIOR PARTNER,false
434,Benin,1960,1963,South/Central (Fon),1000,43401000,,0.33,JUNIOR PARTNER,false
434,Benin,1960,1963,Southeastern (Yoruba/Nagot and Goun),2000,43402000,,0.185,JUNIOR PARTNER,false
434,Benin,1960,1963,"Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",3000,43403000,,0.15,SENIOR PARTNER,false
434,Benin,1960,1963,Southwestern (Adja),4000,43404000,,0.15,IRRELEVANT,
434,Benin,1964,1965,South/Central (Fon),1000,43401000,,0.33,SENIOR PARTNER,false
434,Benin,1964,1965,Southeastern (Yoruba/Nagot and Goun),2000,43402000,,0.185,SENIOR PARTNER,false
434,Benin,1964,1965,"Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",3000,43403000,,0.15,POWERLESS,false
434,Benin,1964,1965,Southwestern (Adja),4000,43404000,,0.15,IRRELEVANT,
434,Benin,1966,1967,South/Central (Fon),1000,43401000,,0.33,SENIOR PARTNER,false
434,Benin,1966,1967,Southeastern (Yoruba/Nagot and Goun),2000,43402000,,0.185,JUNIOR PARTNER,false
434,Benin,1966,1967,"Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",3000,43403000,,0.15,POWERLESS,false
434,Benin,1966,1967,Southwestern (Adja),4000,43404000,,0.15,IRRELEVANT,
434,Benin,1968,1969,South/Central (Fon),1000,43401000,,0.33,JUNIOR PARTNER,false
434,Benin,1968,1969,Southeastern (Yoruba/Nagot and Goun),2000,43402000,,0.185,POWERLESS,false
434,Benin,1968,1969,"Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",3000,43403000,,0.15,SENIOR PARTNER,false
